distance,track,age,odds,pp_start,j_starts,j_first,j_second,j_third,j_total_win_amt,j_win_perc,j_top_3,j_top_3_perc,t_starts,t_first,t_second,t_third,t_total_win_amt,t_win_perc,t_top_3
900,0,7,6,7,28,3,1,1,66200,0.11,5,0.18,5,2,0,1,28890,0.4,0.6
650,1,3,5,1,63,9,6,5,314435,0.14,20,0.32,12,2,2,0,114515,0.17,0.33
550,1,4,10,2,63,9,6,5,314435,0.14,20,0.32,4,0,0,0,1435,0,0
500,0,6,30,10,2,0,0,0,690,0,0,0,1,0,0,0,345,0,0
550,1,3,12,3,12,1,1,2,25830,0.08,4,0.33,2,0,0,0,2145,0,0
500,0,4,3.5,5,19,1,4,4,168321,0.05,9,0.47,8,1,0,1,25320,0.13,0.25
500,1,2,20,7,5,0,1,0,5380,0,1,0.2,17,1,0,5,58935,0.06,0.35
550,1,2,4,4,42,10,3,5,683730,0.24,18,0.43,1,0,0,0,345,0,0
900,0,4,6,1,42,10,3,5,683730,0.24,18,0.43,3,0,0,0,9690,0,0
500,0,4,2.5,6,42,10,3,5,683730,0.24,18,0.43,10,2,0,3,59820,0.2,0.5
500,1,2,20,5,42,10,3,5,683730,0.24,18,0.43,8,1,0,1,25320,0.13,0.25
550,1,5,10,4,0,0,0,0,0,0,0,0,3,0,1,0,4690,0,0.33
500,1,2,10,3,40,4,4,4,237110,0.1,12,0.3,51,9,9,5,435875,0.18,0.45
500,0,3,8,4,40,4,4,4,237110,0.1,12,0.3,51,9,9,5,435875,0.18,0.45
650,1,3,5,7,40,4,4,4,237110,0.1,12,0.3,24,2,4,4,179100,0.08,0.42
550,1,4,2,5,40,4,4,4,237110,0.1,12,0.3,16,1,1,2,40804,0.06,0.25
550,1,2,2.5,2,31,2,5,5,270490,0.06,12,0.39,11,1,1,3,52740,0.09,0.45
500,0,3,20,7,31,2,5,5,270490,0.06,12,0.39,4,0,0,0,1435,0,0
500,0,3,12,1,52,8,3,9,311237,0.15,20,0.38,4,0,0,0,1380,0,0
650,1,3,8,2,52,8,3,9,311237,0.15,20,0.38,39,5,5,5,286355,0.13,0.38
500,1,2,3.5,9,52,8,3,9,311237,0.15,20,0.38,17,2,2,3,122669,0.12,0.41
550,1,4,6,7,37,6,4,2,150700,0.16,12,0.32,1,0,0,1,2400,0,1
500,1,2,2.5,8,37,6,4,2,150700,0.16,12,0.32,44,13,5,2,616845,0.3,0.45
550,1,2,20,7,37,6,4,2,150700,0.16,12,0.32,7,1,0,1,20275,0.14,0.29
500,0,3,12,3,0,0,0,0,0,0,0,0,4,1,0,1,44130,0.25,0.5
500,1,2,5,1,40,2,7,9,346967,0.05,18,0.45,17,1,0,5,58935,0.06,0.35
500,1,2,10,4,35,7,7,4,374120,0.2,18,0.51,51,9,9,5,435875,0.18,0.45
550,1,2,12,6,35,7,7,4,374120,0.2,18,0.51,51,9,9,5,435875,0.18,0.45
650,1,4,12,4,35,7,7,4,374120,0.2,18,0.51,8,1,1,1,48675,0.13,0.38
500,0,5,12,9,10,2,1,0,69325,0.2,3,0.3,1,0,0,0,1200,0,0
550,1,2,3.5,1,10,2,1,0,69325,0.2,3,0.3,6,1,0,1,42540,0.17,0.33
900,0,5,5,8,32,0,4,3,69250,0,7,0.22,5,0,2,1,23065,0,0.6
650,1,3,6,6,51,4,7,7,312568,0.08,18,0.35,42,6,5,5,524088,0.14,0.38
900,0,6,6,6,51,4,7,7,312568,0.08,18,0.35,39,5,5,5,286355,0.13,0.38
900,0,6,15,4,20,3,1,2,83170,0.15,6,0.3,39,5,5,5,286355,0.13,0.38
550,1,3,3,6,39,2,7,2,134480,0.05,11,0.28,17,1,1,1,41315,0.06,0.18
550,1,2,2,5,39,2,7,2,134480,0.05,11,0.28,15,5,1,2,199665,0.33,0.53
500,1,2,5,2,40,4,3,6,217807,0.1,13,0.33,17,3,1,1,193260,0.18,0.29
650,1,3,2,3,40,4,3,6,217807,0.1,13,0.33,17,3,1,1,193260,0.18,0.29
900,0,5,6,3,40,4,3,6,217807,0.1,13,0.33,9,1,2,1,77880,0.11,0.44
900,0,6,3.5,5,59,7,8,8,562909,0.12,23,0.39,14,1,3,0,49315,0.07,0.29
550,1,2,8,3,59,7,8,8,562909,0.12,23,0.39,24,5,1,1,449379,0.21,0.29
500,1,2,4.5,6,59,7,8,8,562909,0.12,23,0.39,24,2,4,4,179100,0.08,0.42
550,1,4,2.5,1,59,7,8,8,562909,0.12,23,0.39,16,1,2,3,50157,0.06,0.38
650,1,3,2.5,5,59,7,8,8,562909,0.12,23,0.39,42,6,5,5,524088,0.14,0.38
500,0,4,4,8,59,7,8,8,562909,0.12,23,0.39,42,6,5,5,524088,0.14,0.38
900,0,6,3,2,35,4,3,2,137660,0.11,9,0.26,12,0,1,2,26080,0,0.25
500,0,4,4.5,2,35,4,3,2,137660,0.11,9,0.26,51,9,9,5,435875,0.18,0.45
